Provincia;Municipio;Localidad
ALICANTE;DOLORES;DOLORES
ALICANTE;ELCHE/ELX;ELCHE/ELX
ALICANTE;ELCHE/ELX;HOYA (LA)
ALICANTE;ELCHE/ELX;TORRELLANO
ALICANTE;ELCHE/ELX;ALTET (EL)
ALICANTE;ELCHE/ELX;PERLETA (LA)
ALICANTE;ELCHE/ELX;ALGODA-MATOLA
ALICANTE;ELDA;ELDA
ALICANTE;FINESTRAT;FINESTRAT
ALICANTE;FORMENTERA DEL SEGURA;FORMENTERA DEL SEGURA
ALICANTE;GATA DE GORGOS;GATA DE GORGOS
ALICANTE;GRANJA DE ROCAMORA;GRANJA DE ROCAMORA
ALICANTE;GUARDAMAR DEL SEGURA;GUARDAMAR DEL SEGURA
ALICANTE;HONDON DE LAS NIEVES;HONDON DE LAS NIEVES
ALICANTE;HONDON DE LOS FRAILES;HONDON DE LOS FRAILES
ALICANTE;IBI;IBI
ALICANTE;JACARILLA;JACARILLA
ALICANTE;JALON/XALO;JALON
ALICANTE;JAVEA/XABIA;JAVEA/XABIA
ALICANTE;JIJONA/XIXONA;XIXONA
ALICANTE;MONFORTE DEL CID;MONFORTE DEL CID
ALICANTE;MONOVAR/MONOVER;MONOVAR
ALICANTE;MONTESINOS (LOS);MONTESINOS (LOS)
ALICANTE;MURO DE ALCOY;MURO DEL ALCOY
ALICANTE;MUTXAMEL;MUTXAMEL
ALICANTE;NOVELDA;NOVELDA
ALICANTE;NUCIA (LA);NUCIA (LA)
ALICANTE;ONDARA;ONDARA
ALICANTE;ONIL;ONIL
ALICANTE;ORBA;ORBA
ALICANTE;ORIHUELA;ORIHUELA
ALICANTE;ORIHUELA;ORIHUELA - COSTA (NUCLEO)
ALICANTE;ORIHUELA;ARNEVA
ALICANTE;ORIHUELA;SAN BARTOLOME
ALICANTE;PEDREGUER;PEDREGUER
ALICANTE;PEGO;PEGO
ALICANTE;PETRER;PETRER
ALICANTE;PILAR DE LA HORADADA;PILAR DE LA HORADADA
ALICANTE;PILAR DE LA HORADADA;TORRE DE LA HORADADA
ALICANTE;PINOSO;PINOSO
ALICANTE;REDOVAN;REDOVAN
ALICANTE;ROJALES;ROJALES
ALICANTE;SALINAS;SALINAS
ALICANTE;SAN FULGENCIO;SAN FULGENCIO
ALICANTE;SAN ISIDRO;SAN ISIDRO
ALICANTE;SAN MIGUEL DE SALINAS;SAN MIGUEL DE SALINAS
ALICANTE;SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG;SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG
ALICANTE;SAN VICENTE DEL RASPEIG/SANT VICENT DEL RASPEIG;BOQUERES
ALICANTE;SANT JOAN D'ALACANT;SANT JOAN D'ALACANT
ALICANTE;SANTA POLA;SANTA POLA
ALICANTE;SAX;SAX
ALICANTE;TEULADA;MORAIRA
ALICANTE;TEULADA;TEULADA
ALICANTE;TIBI;TIBI
ALICANTE;TORREVIEJA;TORREVIEJA
ALICANTE;VERGER (EL);VERGER (EL)
ALICANTE;VILLAJOYOSA/VILA JOIOSA (LA);VILLAJOYOSA / VILA JOIOSA (LA)
ALICANTE;VILLAJOYOSA/VILA JOIOSA (LA);ERMITA (LA)
ALICANTE;VILLENA;VILLENA
ALMERIA;ABLA;ABLA
ALMERIA;ADRA;ADRA
ALMERIA;ADRA;PUENTE DEL RIO
ALMERIA;ALBOX;ALBOX
ALMERIA;ALHAMA DE ALMERIA;ALHAMA DE ALMERIA
ALMERIA;ALMERIA;ALMERIA
ALMERIA;ALMERIA;CANADA DE SAN URBANO (LA)
ALMERIA;ALMERIA;ALQUIAN (EL)
ALMERIA;ALMERIA;RUESCAS
ALMERIA;ALMERIA;RETAMAR
ALMERIA;ANTAS;ANTAS
ALMERIA;ARBOLEAS;ARBOLEAS
ALMERIA;BENAHADUX;BENAHADUX
ALMERIA;BERJA;BERJA
ALMERIA;BERJA;BALANEGRA
ALMERIA;CANJAYAR;CANJAYAR
ALMERIA;CANTORIA;CANTORIA
ALMERIA;CANTORIA;HOJILLA (LA)
ALMERIA;CARBONERAS;CARBONERAS
ALMERIA;CHIRIVEL;CHIRIVEL
ALMERIA;CUEVAS DEL ALMANZORA;CUEVAS DEL ALMANZORA
ALMERIA;CUEVAS DEL ALMANZORA;PALOMARES
ALMERIA;CUEVAS DEL ALMANZORA;LOBOS (LOS)
ALMERIA;CUEVAS DEL ALMANZORA;GUAZAMARA
ALMERIA;DALIAS;DALIAS
ALMERIA;EJIDO (EL);EJIDO (EL)
ALMERIA;EJIDO (EL);SANTA MARIA DEL AGUILA
ALMERIA;EJIDO (EL);NORIAS (LAS)
ALMERIA;EJIDO (EL);SAN AGUSTIN
ALMERIA;EJIDO (EL);MATAGORDA
ALMERIA;EJIDO (EL);BALERMA
ALMERIA;FINANA;FINANA
ALMERIA;FINES;CANADA DE LAS CRUCES (LA)
ALMERIA;FINES;ESTACION (LA)
ALMERIA;FINES;FINES
ALMERIA;GADOR;GADOR
ALMERIA;GALLARDOS (LOS);GALLARDOS (LOS)
ALMERIA;GERGAL;GERGAL
ALMERIA;HUERCAL DE ALMERIA;HUERCAL DE ALMERIA
ALMERIA;HUERCAL-OVERA;HUERCAL-OVERA
ALMERIA;LAUJAR DE ANDARAX;LAUJAR DE ANDARAX
ALMERIA;LUBRIN;LUBRIN
ALMERIA;MACAEL;MACAEL
ALMERIA;MARIA;MARIA
ALMERIA;MOJACAR;MOJACAR
ALMERIA;MOJONERA (LA);MOJONERA (LA)
ALMERIA;NACIMIENTO;NACIMIENTO
ALMERIA;NIJAR;NIJAR
ALMERIA;NIJAR;SAN ISIDRO DE NIJAR
ALMERIA;NIJAR;CAMPOHERMOSO
ALMERIA;NIJAR;BARRANQUETE (EL)
ALMERIA;OLULA DEL RIO;OLULA DEL RIO
ALMERIA;ORIA;ORIA
ALMERIA;PULPI;PULPI
ALMERIA;PULPI;SAN JUAN DE TERREROS
ALMERIA;PURCHENA;PURCHENA
ALMERIA;RIOJA;RIOJA
ALMERIA;ROQUETAS DE MAR;ROQUETAS DE MAR
ALMERIA;ROQUETAS DE MAR;AGUADULCE
ALMERIA;SERON;CLAVEROS (LOS)
ALMERIA;SORBAS;SORBAS
ALMERIA;TABERNAS;TABERNAS
ALMERIA;TABERNO;TABERNO
ALMERIA;TAHAL;TAHAL
ALMERIA;TIJOLA;TIJOLA
ALMERIA;VELEZ-BLANCO;VELEZ-BLANCO
ALMERIA;VELEZ-BLANCO;TOPARES
ALMERIA;VELEZ-RUBIO;VELEZ-RUBIO
ALMERIA;VERA;VERA
ALMERIA;VIATOR;VIATOR
ALMERIA;VIATOR;JUAIDA (LA)
ALMERIA;VICAR;GANGOSA (LA)
ALMERIA;VICAR;PUEBLA DE VICAR
ALMERIA;VICAR;VICAR
ARABA/ALAVA;ALEGRIA-DULANTZI;ALEGRIA-DULANTZI
ARABA/ALAVA;AMURRIO;AMURRIO
ARABA/ALAVA;AMURRIO;LARRINBE
ARABA/ALAVA;AMURRIO;LEZAMA
ARABA/ALAVA;ARRAIA-MAEZTU;MAEZTU/MAESTU
ARABA/ALAVA;ARRAZUA-UBARRUNDIA;LUKO
ARABA/ALAVA;ARRAZUA-UBARRUNDIA;ZURBANO
ARABA/ALAVA;ARTZINIEGA;ARTZINIEGA
ARABA/ALAVA;ASPARRENA;ARAIA
ARABA/ALAVA;CAMPEZO/KANPEZU;SANTA CRUZ CAMPEZO
ARABA/ALAVA;ELBURGO/BURGELU;ELBURGO/BURGELU
ARABA/ALAVA;IRUNA OKA/IRUNA DE OCA;NANCLARES DE LA OCA
ARABA/ALAVA;LABASTIDA;SALINILLAS DE BURADON
ARABA/ALAVA;LAGUARDIA;LAGUARDIA
ARABA/ALAVA;LANTARON;PUENTELARRA/LARRAZUBI
ARABA/ALAVA;LLODIO;LAUDIO/LLODIO
ARABA/ALAVA;OYON/OION;OYON-OION
ARABA/ALAVA;RIBERA ALTA;POBES
ARABA/ALAVA;RIBERA BAJA/ERRIBERA BEITIA;IGAY
ARABA/ALAVA;RIBERA BAJA/ERRIBERA BEITIA;RIBABELLOSA
ARABA/ALAVA;SALVATIERRA/AGURAIN;ALANGUA
ARABA/ALAVA;SALVATIERRA/AGURAIN;SALVATIERRA O AGURAIN
ARABA/ALAVA;SAN MILLAN/DONEMILIAGA;DURRUMA/SAN ROMAN DE SAN
ARABA/ALAVA;VITORIA-GASTEIZ;VITORIA-GASTEIZ
ARABA/ALAVA;VITORIA-GASTEIZ;ARCAUTE
ARABA/ALAVA;VITORIA-GASTEIZ;ABERASTURI
ARABA/ALAVA;VITORIA-GASTEIZ;SUBIJANA DE ALAVA
ARABA/ALAVA;VITORIA-GASTEIZ;ZUAZO DE VITORIA/ZUHATZU
ARABA/ALAVA;VITORIA-GASTEIZ;ARANGUIZ
ARABA/ALAVA;VITORIA-GASTEIZ;LOPIDANA
ARABA/ALAVA;ZUIA;ALTUBE
ARABA/ALAVA;ZUIA;MURGIA
ASTURIAS;ALLANDE;POLA DE ALLANDE
ASTURIAS;ALLER;CORIGOS
ASTURIAS;ALLER;MOREDA
ASTURIAS;ALLER;CABORANA
ASTURIAS;AVILES;VILLALEGRE (AVILES)
ASTURIAS;AVILES;LLARANES
ASTURIAS;AVILES;AVILES
ASTURIAS;BELMONTE DE MIRANDA;BELMONTE
ASTURIAS;BOAL;BOAL
ASTURIAS;CABRALES;ARENAS (LAS)
ASTURIAS;CANGAS DE ONIS;CANGAS DE ONIS
ASTURIAS;CANGAS DE ONIS;COVIELLA
ASTURIAS;CANGAS DEL NARCEA;CANGAS DEL NARCEA
ASTURIAS;CANGAS DEL NARCEA;TEBONGO
ASTURIAS;CARRENO;PERLORA
ASTURIAS;CARRENO;TAM ON
ASTURIAS;CARRENO;CARRENO
ASTURIAS;CARRENO;BARCA (LA)
ASTURIAS;CASTRILLON;PIEDRAS BLANCAS
ASTURIAS;CASTRILLON;CRUZ DE ILLAS (LA)
ASTURIAS;CASTROPOL;BARRES
ASTURIAS;COANA;JARRIO
ASTURIAS;COANA;CARTAVIO
ASTURIAS;COLUNGA;COLUNGA
ASTURIAS;CORVERA DE ASTURIAS;CORVERA DE ASTURIAS
ASTURIAS;CORVERA DE ASTURIAS;CAMPOS (LOS)
ASTURIAS;CORVERA DE ASTURIAS;SAMA DE ABAJO
ASTURIAS;CORVERA DE ASTURIAS;SILVOTA
ASTURIAS;CORVERA DE ASTURIAS;TRASMONTE
ASTURIAS;CUDILLERO;PITO, EL
ASTURIAS;CUDILLERO;CUDILLERO
ASTURIAS;CUDILLERO;SAN COSME
ASTURIAS;CUDILLERO;NOVELLANA
ASTURIAS;FRANCO (EL);VALDEPARES
ASTURIAS;GIJON;VERINA
ASTURIAS;GIJON;GIJON
ASTURIAS;GIJON;LLOREDA
ASTURIAS;GIJON;GRANDA DE ABAJO
ASTURIAS;GIJON;MAREO DE ABAJO
ASTURIAS;GIJON;AGUDA
ASTURIAS;GOZON;NEMBRO
ASTURIAS;GRADO;GRADO
ASTURIAS;GRANDAS DE SALIME;GRANDAS DE SALIME
ASTURIAS;IBIAS;SAN ANTOLIN
ASTURIAS;LANGREO;SAMA DE LANGREO
ASTURIAS;LANGREO;FELGUERA (LANGREO), LA
ASTURIAS;LANGREO;LANGREO
ASTURIAS;LAVIANA;POLA DE LAVIANA
ASTURIAS;LENA;POLA DE LENA
ASTURIAS;LLANERA;PRUVIA
ASTURIAS;LLANERA;LLANERA
ASTURIAS;LLANERA;SILVOTA (LLANERA-POL. INDUSTRIAL)
ASTURIAS;LLANERA;POSADA
ASTURIAS;LLANERA;CORUNO
ASTURIAS;LLANES;LLANES
ASTURIAS;LLANES;PINERES
ASTURIAS;LLANES;SAN ROQUE DEL ACEBAL
ASTURIAS;MIERES;MIERES
ASTURIAS;MIERES;SANTULLANO
ASTURIAS;MIERES;CORTINA
ASTURIAS;MORCIN;ARGAME
ASTURIAS;MUROS DE NALON;MUROS
ASTURIAS;NAVA;NAVA
ASTURIAS;NAVIA;NAVIA
ASTURIAS;NORENA;NORENA
ASTURIAS;OVIEDO;OVIEDO
ASTURIAS;OVIEDO;CERDENO
ASTURIAS;OVIEDO;COLLOTO
ASTURIAS;OVIEDO;CUYENCES
ASTURIAS;OVIEDO;PANDO (EL)
ASTURIAS;OVIEDO;TRUBIA
ASTURIAS;PENAMELLERA BAJA;PANES
ASTURIAS;PILONA;PILONA
ASTURIAS;PILONA;SEVARES
ASTURIAS;PRAVIA;PRAVIA
ASTURIAS;PROAZA;PROAZA
ASTURIAS;RIBADEDEVA;COLOMBRES
ASTURIAS;RIBADEDEVA;ANDINAS
ASTURIAS;RIBADESELLA;RIBADESELLA
ASTURIAS;RIBERA DE ARRIBA;FERREROS
ASTURIAS;SALAS;SALAS
ASTURIAS;SALAS;CASAZORRINA
ASTURIAS;SALAS;ESPINA (LA)
ASTURIAS;SALAS;CORNELLANA
ASTURIAS;SALAS;SANTIAGO DE LA BARCA
ASTURIAS;SAN MARTIN DE OSCOS;SAN MARTIN DE OSCOS
ASTURIAS;SAN MARTIN DEL REY AURELIO;SOTRONDIO
ASTURIAS;SAN MARTIN DEL REY AURELIO;ENTREGO (EL)
ASTURIAS;SAN TIRSO DE ABRES;SAN ANDRES
ASTURIAS;SIERO;MARCENADO
ASTURIAS;SIERO;POLA DE SIERO
ASTURIAS;SIERO;SIERO
ASTURIAS;SIERO;CARBAYIN ALTO
ASTURIAS;SIERO;BERRON (EL)
ASTURIAS;SIERO;FERRERA
ASTURIAS;SIERO;CARRERA (LA)
ASTURIAS;SIERO;GRANDA
ASTURIAS;SIERO;MERES
ASTURIAS;SIERO;LUGONES
ASTURIAS;SIERO;VIELLA
ASTURIAS;SOMIEDO;POLA DE SOMIEDO
ASTURIAS;SOTO DEL BARCO;RIBERAS (SOTO DEL BARCO)
ASTURIAS;SOTO DEL BARCO;CARCEDO (SOTO BARCO)
ASTURIAS;TAPIA DE CASARIEGO;TAPIA DE CASARIEGO
ASTURIAS;TAPIA DE CASARIEGO;CORTAFICIO
ASTURIAS;TEVERGA;SAN MARTIN
ASTURIAS;TINEO;TINEO
ASTURIAS;TINEO;NAVELGAS
ASTURIAS;VALDES;LUARCA
ASTURIAS;VALDES;ALMUNA
ASTURIAS;VALDES;OTUR
ASTURIAS;VALDES;BRIEVES
ASTURIAS;VALDES;TREVIAS
ASTURIAS;VALDES;MUNAS
ASTURIAS;VALDES;AYONES
ASTURIAS;VEGADEO;VEGADEO
ASTURIAS;VILLANUEVA DE OSCOS;VILLANUEVA DE OSCOS
ASTURIAS;VILLAVICIOSA;VILLAVICIOSA
ASTURIAS;VILLAVICIOSA;VENTA LAS RANAS
AVILA;ADANERO;ADANERO
AVILA;ADRADA (LA);ADRADA (LA)
AVILA;ALDEASECA;ALDEASECA
AVILA;ARENAS DE SAN PEDRO;ARENAS DE SAN PEDRO
AVILA;ARENAS DE SAN PEDRO;RAMACASTANAS
AVILA;AREVALO;AREVALO
AVILA;AVILA;AVILA
AVILA;BARCO DE AVILA (EL);BARCO DE AVILA (EL)
AVILA;BARRACO (EL);BARRACO (EL)
AVILA;BLASCOSANCHO;BLASCOSANCHO
AVILA;BURGOHONDO;BURGOHONDO
AVILA;CANDELEDA;CANDELEDA
AVILA;CEBREROS;CEBREROS
AVILA;COLILLA (LA);COLILLA (LA)
AVILA;CRESPOS;CHAHERRERO
AVILA;ESPINOSA DE LOS CABALLEROS;ESPINOSA DE LOS CABALLEROS
AVILA;FONTIVEROS;FONTIVEROS
AVILA;HERNANSANCHO;HERNANSANCHO
AVILA;HOYO DE PINARES (EL);HOYO DE PINARES (EL)
AVILA;MADRIGAL DE LAS ALTAS TORRES;MADRIGAL ALTAS TORRES
AVILA;MINGORRIA;MINGORRIA
AVILA;MOMBELTRAN;MOMBELTRAN
AVILA;MUNANA;MUNANA
AVILA;MUNICO;MUNICO
AVILA;MUNOGRANDE;MUNOGRANDE
AVILA;NAVA DE AREVALO;NAVA DE AREVALO
AVILA;NAVALPERAL DE PINARES;NAVALPERAL DE PINARES
AVILA;NAVALUENGA;NAVALUENGA
AVILA;NAVARREDONDA DE GREDOS;NAVARREDONDA DE GREDOS
AVILA;NAVARREDONDILLA;NAVARREDONDILLA
AVILA;NAVAS DEL MARQUES (LAS);NAVAS DEL MARQUES (LAS)
AVILA;ORBITA;ORBITA
AVILA;PALACIOS DE GODA;PALACIOS DE GODA
AVILA;PEDRO BERNARDO;PEDRO BERNARDO
AVILA;PIEDRAHITA;PIEDRAHITA
AVILA;SAN ESTEBAN DEL VALLE;SAN ESTEBAN DEL VALLE
AVILA;SAN PEDRO DEL ARROYO;SAN PEDRO DEL ARROYO
AVILA;SANCHIDRIAN;SANCHIDRIAN
AVILA;SOLOSANCHO;SOLOSANCHO
AVILA;SOTILLO DE LA ADRADA;SOTILLO DE LA ADRADA
AVILA;TIEMBLO (EL);TIEMBLO (EL)
AVILA;TORRE (LA);TORRE (LA)
AVILA;VELAYOS;VELAYOS
AVILA;VILLANUEVA DEL ACERAL;VILLANUEVA DEL ACERAL
BADAJOZ;ACEDERA;GUADALPERALES (LOS)
BADAJOZ;ACEUCHAL;ACEUCHAL
BADAJOZ;AHILLONES;AHILLONES
BADAJOZ;ALANGE;ALANGE
BADAJOZ;ALBUERA (LA);ALBUERA (LA)
BADAJOZ;ALBURQUERQUE;ALBURQUERQUE
BADAJOZ;ALCONCHEL;ALCONCHEL
BADAJOZ;ALMENDRAL;ALMENDRAL
BADAJOZ;ALMENDRALEJO;ALMENDRALEJO
BADAJOZ;ARROYO DE SAN SERVAN;ARROYO DE SAN SERVAN
BADAJOZ;AZUAGA;AZUAGA
BADAJOZ;BADAJOZ;BADAJOZ
BADAJOZ;BADAJOZ;GEVORA
BADAJOZ;BADAJOZ;NOVELDA DEL GUADIANA
BADAJOZ;BADAJOZ;GUADIANA DEL CAUDILLO
BADAJOZ;BADAJOZ;VILLAFRANCO DEL GUADIANA
BADAJOZ;BARCARROTA;BARCARROTA
BADAJOZ;BERLANGA;BERLANGA
BADAJOZ;BIENVENIDA;BIENVENIDA
BADAJOZ;BURGUILLOS DEL CERRO;BURGUILLOS DEL CERRO
BADAJOZ;CABEZA DEL BUEY;CABEZA DEL BUEY
BADAJOZ;CABEZA LA VACA;CABEZA LA VACA
BADAJOZ;CALAMONTE;CALAMONTE
BADAJOZ;CALERA DE LEON;CALERA DE LEON
BADAJOZ;CALZADILLA DE LOS BARROS;CALZADILLA DE LOS BARROS
BADAJOZ;CAMPANARIO;CAMPANARIO
BADAJOZ;CAMPILLO DE LLERENA;CAMPILLO DE LLERENA
BADAJOZ;CASAS DE DON PEDRO;CASAS DE DON PEDRO
BADAJOZ;CASTILBLANCO;CASTILBLANCO
BADAJOZ;CASTUERA;CASTUERA
BADAJOZ;CODOSERA (LA);CODOSERA (LA)
BADAJOZ;CORDOBILLA DE LACARA;CORDOBILLA DE LACARA
BADAJOZ;CORONADA (LA);CORONADA (LA)
BADAJOZ;CORTE DE PELEAS;CORTE DE PELEAS
BADAJOZ;DON BENITO;DON BENITO
BADAJOZ;DON BENITO;VIVARES
BADAJOZ;DON BENITO;TORVISCAL (EL)
BADAJOZ;DON BENITO;GARGALIGAS
BADAJOZ;ENTRIN BAJO;ENTRIN BAJO
BADAJOZ;ESPARRAGALEJO;ESPARRAGALEJO
BADAJOZ;FREGENAL DE LA SIERRA;FREGENAL DE LA SIERRA
BADAJOZ;FUENLABRADA DE LOS MONTES;FUENLABRADA DE LOS MONTES
BADAJOZ;FUENTE DE CANTOS;FUENTE DE CANTOS
BADAJOZ;FUENTE DEL ARCO;FUENTE DEL ARCO
BADAJOZ;FUENTE DEL MAESTRE;FUENTE DEL MAESTRE
BADAJOZ;FUENTES DE LEON;FUENTES DE LEON
BADAJOZ;GRANJA DE TORREHERMOSA;GRANJA DE TORREHERMOSA
BADAJOZ;GUARENA;GUARENA
BADAJOZ;HABA (LA);HABA (LA)
BADAJOZ;HERRERA DEL DUQUE;HERRERA DEL DUQUE
BADAJOZ;HIGUERA DE LA SERENA;HIGUERA DE LA SERENA
BADAJOZ;HIGUERA DE VARGAS;HIGUERA DE VARGAS
BADAJOZ;HIGUERA LA REAL;HIGUERA LA REAL
BADAJOZ;HORNACHOS;HORNACHOS
BADAJOZ;JEREZ DE LOS CABALLEROS;JEREZ DE LOS CABALLEROS
BADAJOZ;JEREZ DE LOS CABALLEROS;VALUENGO
BADAJOZ;LLERENA;LLERENA
BADAJOZ;LOBON;LOBON
BADAJOZ;MAGUILLA;MAGUILLA
BADAJOZ;MEDELLIN;MEDELLIN
BADAJOZ;MEDINA DE LAS TORRES;MEDINA DE LAS TORRES
BADAJOZ;MERIDA;MERIDA
BADAJOZ;MONESTERIO;MONESTERIO
BADAJOZ;MONTEMOLIN;PALLARES
BADAJOZ;MONTERRUBIO DE LA SERENA;MONTERRUBIO DE LA SERENA
BADAJOZ;MONTIJO;MONTIJO
BADAJOZ;NAVA DE SANTIAGO (LA);NAVA DE SANTIAGO (LA)
BADAJOZ;NAVALVILLAR DE PELA;NAVALVILLAR DE PELA
BADAJOZ;NAVALVILLAR DE PELA;OBANDO
BADAJOZ;OLIVA DE LA FRONTERA;OLIVA FRONTERA
BADAJOZ;OLIVENZA;OLIVENZA
BADAJOZ;ORELLANA LA VIEJA;ORELLANA LA VIEJA
BADAJOZ;PENALSORDO;PENALSORDO
BADAJOZ;PUEBLA DE LA CALZADA;PUEBLA DE LA CALZADA
BADAJOZ;PUEBLA DE OBANDO;PUEBLA DE OBANDO
BADAJOZ;PUEBLA DE SANCHO PEREZ;PUEBLA DE SANCHO PEREZ
BADAJOZ;PUEBLA DEL MAESTRE;PUEBLA DEL MAESTRE
BADAJOZ;PUEBLONUEVO DEL GUADIANA;PUEBLONUEVO DEL GUADIANA
BADAJOZ;QUINTANA DE LA SERENA;QUINTANA DE LA SERENA
BADAJOZ;RIBERA DEL FRESNO;RIBERA DEL FRESNO
BADAJOZ;ROCA DE LA SIERRA (LA);ROCA DE LA SIERRA (LA)
BADAJOZ;SALVALEON;SALVALEON
BADAJOZ;SAN PEDRO DE MERIDA;SAN PEDRO DE MERIDA
BADAJOZ;SAN VICENTE DE ALCANTARA;SAN VICENTE DE ALCANTARA
BADAJOZ;SANTA AMALIA;SANTA AMALIA
BADAJOZ;SANTA MARTA;SANTA MARTA
BADAJOZ;SANTOS DE MAIMONA (LOS);SANTOS DE MAIMONA (LOS)
BADAJOZ;SEGURA DE LEON;SEGURA DE LEON
BADAJOZ;SIRUELA;SIRUELA
BADAJOZ;SOLANA DE LOS BARROS;SOLANA DE LOS BARROS
BADAJOZ;SOLANA DE LOS BARROS;RETAMAL
