Localidad;Código postal;Dirección;Margen;Longitud;Latitud;Toma de datos;Precio gasolina 95 E5;Precio gasolina 95 E10;Precio gasolina 95 E5 Premium;Precio gasolina 98 E5;Precio gasolina 98 E10;Precio gasóleo A;Precio gasóleo Premium;Precio gasóleo B;Precio gasóleo C;Precio bioetanol;Precio biodiésel;Precio gases licuados del petróleo;Precio gas natural comprimido;Precio gas natural licuado;Precio hidrógeno;% bioalcohol;% éster metílico;Rótulo;Tipo venta;Rem.;Horario;Tipo servicio;
SAN CRISTOBAL;38206;CAMINO DE LA VILLA, 175;I;-16,336583;28,483556;13/11/2023 11:09;1,269;;;1,361;;1,265;1,316;;;;;;;;;;;ES TAXLAGUNA ;P;dm;L-D: 06:30-22:00;Sin datos;
VILADECANS;8840;CARRETERA VILA KM. 33;D;2,022639;41,311028;14/11/2023 17:33;1,599;;;;;1,599;;;;;;;;;;;;ES VILAMARINA CEPSA;P;dm;L-D: 24H;L-D: 24H (A);
SANTA MAGDALENA DE PULPIS;12597;CARRETERA N-340 KM. 1031;D;0,3035;40,359972;13/11/2023 12:35;1,628;;;1,89;;1,598;1,728;1,354;;;;;;;;;;ES ZARAGOZA;P;dm;"L-V: 08:00-16:00; S-D: 08:00-17:00";"L-V: 08:00-16:00 (A); S-D: 08:00-17:00 (A)";
CULLAR VEGA;18195;CALLE PAGO DEL LUNES, 1;D;-3,662972;37,148444;13/11/2023 12:53;1,557;;;;;1,537;;;;;;0,977;;;;;;ES.LA NARANJA;P;dm;L-D: 07:00-23:00;Sin datos;
VALDEPENAS;13300;CARRETERA N - IV KM. 210;N;-3,437139;38,686944;13/11/2023 11:40;1,579;;;;;1,649;;;;;;;;;;;;ESAP LA PARA ROCIERA;P;dm;L-D: 24H;L-D: 24H (A);
CHIPIONA;11550;AVENIDA GRANADA, 102;D;-6,421889;36,738417;14/11/2023 9:08;1,648;;;;;1,568;;;;;;;;;;;;ESC;P;dm;L-D: 24H;Sin datos;
TAMARITE DE LITERA;22550;A-140 km 13,5;I;0,419222;41,863667;13/11/2023 14:11;1,569;;;1,799;;1,569;;;;;;;;;;;;ESC;P;dm;L-D: 24H;L-D: 24H (A);
BOLLULLOS DE LA MITACION;41110;AVENIDA JUAN PABLO II, 6;D;-6,139;37,334361;13/11/2023 8:29;1,648;;;;;1,538;;;;;;;;;;;;ESC;P;dm;L-D: 24H;L-D: 24H (A);
BADALONA;8020;AVENIDA CONFLENT, S/N;D;2,233972;41,461556;13/11/2023 17:00;1,529;;;;;1,499;1,549;;;;;;;;;;;ESCLATOIL;P;dm;L: 24H;L: 00:00-08:00 (D), 08:00-22:00 (A), 22:00-23:59 (D);
CABRERA DE MAR;8349;CARRETERA NACIONAL II KM. 70;N;2,417889;41,517389;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
CASTELLBISBAL;8755;AVENIDA CAN CAMPANYA, 1;D;1,987917;41,483;13/11/2023 17:00;1,509;;;;;1,479;1,529;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
CERDANYOLA DEL VALLES;8290;CALLE SAN RAMON, 259;D;2,129222;41,488167;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
COLLBATO;8293;AVINGUDA CENTENARI AMADEU VIVES, 2;N;1,815833;41,56325;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
IGUALADA;8700;AVENIDA AVINGUDA MESTRE MUNTANER CANTONADA CARRER LLEIDA, S/N;D;1,627194;41,58475;13/11/2023 17:00;1,479;;;;;1,449;1,499;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
LLICA D'AMUNT;8186;AVENIDA PAISOS CATALANS, 17;D;2,243639;41,605833;13/11/2023 17:00;1,509;;;;;1,479;1,529;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
MALLA;8519;HIPER ESCLAT. CTRA. C-17 km 55;N;2,243583;41,882028;13/11/2023 17:00;1,479;;;;;1,449;1,499;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
MANLLEU;8560;CARRETERA MANLLEU TORELLO KM. 1;D;2,279722;42,008806;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
MANRESA;8241;CARRETERA VIC, CANTONADA C/CASTELLGALI KM. 0;D;1,844028;41,736278;13/11/2023 17:00;1,479;;;;;1,449;1,499;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
MOLLET DEL VALLES;8100;CARRER DE NICARAGUA,S/N. PL. CAN BORRELL, S/N;D;2,204972;41,54875;13/11/2023 17:00;1,509;;;;;1,479;1,529;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
PIERA;8784;AVENIDA AVINGUDA IGUALADA, 97;N;1,750222;41,528306;13/11/2023 17:00;1,479;;;;;1,449;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
RODA DE TER;8510;AVENIDA MIQUEL MARTI I POL, S/N;D;2,308472;41,988139;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
RUBI;8191;CARRETERA C1413A KM. 9,4;D;2,031472;41,478528;13/11/2023 17:00;1,499;;;;;1,469;1,519;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
SANT CELONI;8470;CARRETERA C-35 KM. 56,1;N;2,494722;41,687306;13/11/2023 17:00;1,529;;;;;1,499;1,549;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
SANT CUGAT DEL VALLES;8174;AVINGUDA VIA AUGUSTA, 3;D;2,063417;41,487889;13/11/2023 17:00;1,509;;;;;1,479;1,529;;;;;;;;;;;ESCLATOIL;P;dm;L: 24H;L: 00:00-07:59 (D), 07:59-23:59 (A);
SANT JUST DESVERN;8960;AVENIDA LLUIS COMPANYS, S/N;N;2,063306;41,379528;13/11/2023 17:00;1,529;;;;;1,499;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
SANT VICENC DE CASTELLET;8295;PLAZA GENERALITAT, 1;N;1,860694;41,664917;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
SANTA PERPETUA DE MOGODA;8130;AVENIDA TRES, 64;N;2,193944;41,516806;13/11/2023 17:00;1,509;;;;;1,479;1,529;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
TERRASSA;8225;AVENIDA JOSEP TARRADELLAS,DE, 2;D;2,004694;41,570083;13/11/2023 17:00;1,519;;;;;1,489;1,539;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
TORELLO;8570;CARRER COMPTE BORREL, 1;N;2,258028;42,055528;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
TORELLO;8570;CALLE NOU, 264;N;2,274861;42,039528;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
VIC;8500;CALLE RIPOLL, 1;N;2,253111;41,945917;13/11/2023 17:00;1,479;;;;;1,449;1,499;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
VILADECAVALLS;8232;CARRETERA DE TERRASSA A OLESA DE MONTSERRAT KM. S/N;D;1,953194;41,55675;13/11/2023 17:00;1,469;;;;;1,439;1,489;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;"L-S: 00:00-08:00 (D), 08:00-21:00 (A), 21:00-23:59 (D); D: 24H (D)";
VILAFRANCA DEL PENEDES;8720;AVENIDA TARRAGONA, 132-142;N;1,679278;41,332167;13/11/2023 17:00;1,499;;;;;1,469;1,519;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
VILAFRANCA DEL PENEDES;8720;CARRETERA BARCELONA KM. 115;N;1,710333;41,348167;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
BANYOLES;17820;CALLE DE LA BASSA DEL CANEM, 22;N;2,775639;42,112611;13/11/2023 17:00;1,509;;;;;1,479;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
CASTELLO D'EMPURIES;17486;CARRER SANT MAURICI, 21;N;3,10675;42,256611;13/11/2023 17:00;1,519;;;;;1,489;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
CASTELLO D'EMPURIES;17486;CALLE C/ CLOSA DELS FRARES, CANTONADA C/ ALT EMPORDA, S/N;D;3,074472;42,250833;13/11/2023 17:00;1,519;;;;;1,489;1,539;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
ESCALA (L');17130;CARRER DE LA LLOSA D, 80;N;3,126222;42,119194;13/11/2023 17:00;1,519;;;;;1,489;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
FIGUERES;17600;HIPER ESCLAT. AVDA.PAISOS CATALANS, 2;N;2,950972;42,260861;13/11/2023 17:00;1,519;;;;;1,489;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
GIRONA;17005;CARRETERA DE SANTA COLOMA KM. 106;N;2,8015;41,959167;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
GIRONA;17003;CALLE C DALT DE CAN TURON-C 8 DE MARC, S/N;D;2,810944;41,954472;13/11/2023 17:00;1,499;;;;;1,469;1,519;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
HOSTALRIC;17450;CARRER POMPEU FABRA, 2;N;2,624083;41,742833;13/11/2023 17:00;1,529;;;;;1,499;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
LLAGOSTERA;17240;CARRER XALOC, 1;N;2,902361;41,829778;13/11/2023 17:00;1,519;;;;;1,489;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
OLOT;17600;CALLE DE LLUIS COMPANYS, 14,16;D;2,47325;42,189944;13/11/2023 17:00;1,509;;;;;1,479;1,529;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
PALAFRUGELL;17200;AVENIDA COSTA BRAVA, S/N;N;3,149306;41,927278;13/11/2023 17:00;1,449;;;;;1,429;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
PALAMOS;17230;CAMINO PLA DEL LLOP (DEL), 2;N;3,119056;41,85525;13/11/2023 17:00;1,519;;;;;1,489;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
SANT PERE PESCADOR;17470;CARRETERA CASTELLO KM. 1;D;3,082333;42,194417;13/11/2023 17:00;1,519;;;;;1,489;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
SANTA COLOMA DE FARNERS;17430;CALLE FRANCESC MORAGUES, SN;N;2,677917;41,853528;13/11/2023 17:00;1,509;;;;;1,479;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
SARRIA DE TER;17840;AVINGUDA DE FRANCA, 125;D;2,816111;42,006167;13/11/2023 17:00;1,449;;;;;1,429;1,479;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 00:00-08:00 (D), 08:00-22:00 (A), 22:00-23:59 (D);
TORROELLA DE MONTGRI;17257;HIPER ESCLAT. CTRA. GE 641 km 4,225;N;3,177222;42,049472;13/11/2023 17:00;1,519;;;;;1,489;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
TOSSA;17320;CALLE LLUIS COMPANYS CANT C/FRANCESC MACIA, S/N;D;2,927389;41,721778;13/11/2023 17:00;1,519;;;;;1,489;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 00:00-08:00 (D), 08:00-21:00 (A), 21:00-23:59 (D);
ALPICAT;25110;CALLE ENRIC GRANADOS S/N, S/N;D;0,55775;41,662833;13/11/2023 17:00;1,499;;;;;1,469;1,519;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;Sin datos;
CERVERA;25200;AVENIDA TARREGA, 5;D;1,266667;41,669528;13/11/2023 17:00;1,449;;;;;1,429;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
LLEIDA;25001;CALLE ENGINYER ANTONI LLOBET, S/N;N;0,632167;41,602444;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
TARREGA;25300;AVINGUDA TARRAGONA, 13;D;1,142194;41,640778;13/11/2023 17:00;1,479;;;;;1,449;1,499;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
ALCANAR;43530;AVENIDA DE CATALUNNA, S/N;D;0,486639;40,542694;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 00:00-08:00 (D), 08:00-21:00 (A), 21:00-23:59 (D);
DELTEBRE;43580;AVENIDA GENERALITAT, S/N;N;0,725472;40,720222;13/11/2023 17:00;1,489;;;;;1,449;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
MORA LA NOVA;43770;POLIGONO AUBALS, 3;N;0,646472;41,106167;13/11/2023 17:00;1,479;;;;;1,449;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
REUS;43204;CALLE ARGENTINA, 13;N;1,132889;41,145639;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
RODA DE BARA;43883;CARRER HISPANO SUIZA, 1;N;1,474917;41,176806;13/11/2023 17:00;1,529;;;;;1,499;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
SALOU;43840;CALLE VICTORIA DELS ANGELS, 2;N;1,123944;41,086;13/11/2023 17:00;1,479;;;;;1,449;1,499;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
ULLDECONA;43550;CALLE MAJOR, 212;D;0,443417;40,593139;13/11/2023 17:00;1,499;;;;;1,469;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
VALLS;43800;HIPER ESCLAT. ARTESANS,S/N POL.IND.VALLS;N;1,268611;41,313694;13/11/2023 17:00;1,479;;;;;1,449;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
VINYOLS I ELS ARCS;43391;HIPER ESCLAT. CTRA. N-340 km 1.145;N;1,062528;41,079389;13/11/2023 17:00;1,479;;;;;1,449;;;;;;;;;;;;ESCLATOIL;P;dm;L-D: 24H;L-D: 24H (A);
TREMP;25620;AVENIDA PIRINEUS, S/N;N;0,897222;42,174056;13/11/2023 17:00;1,479;;;;;1,449;;;;;;;;;;;;ESCLATOIL ;P;dm;L-D: 24H;L-D: 24H (A);
ARENAS (LAS);33554;CARRETERA AS-114 KM. 32,80;D;-4,795833;43,297944;13/11/2023 12:33;1,659;;;1,769;;1,599;;1,265;;;;;;;;;;ESC-PETROLEOS;P;dm;L-D: 08:00-22:00;L-D: 08:00-22:00 (A);
CANGAS DE ONIS;33550;CARRETERA AS-114 KM. 1,100;I;-5,124972;43,354111;13/11/2023 12:35;1,659;;;1,769;;1,599;1,759;;;;;;;;;;;ESC-PETROLEOS;P;dm;L-D: 06:00-23:00;L-D: 06:00-23:00 (A);
QUESADA;23480;CALLE FONTANEROS (POL.IND.), S/N;I;-3,086194;37,860583;13/11/2023 9:19;1,612;;;;;1,653;;1,352;;;;;;;;;;ESFER-OIL;P;dm;L-D: 06:00-22:30;L-D: 06:00-22:30 (A);
BARCA (LA);33438;LUGAR LA BARCA, S/N;N;-5,852278;43,554167;13/11/2023 9:50;;;;;;1,589;;;;;;;;;;;;ESOIL;P;dm;L-V: 09:00-13:00 y 15:30-19:00;L-V: 09:00-13:00 (A), 15:30-19:00 (A);
COLLOTO;33010;POLIGONO ESPIRITU SANTO, PARCELA, 17 (N-634 SANTANDER OVIEDO km 401,7);D;-5,805583;43,377361;14/11/2023 22:30;1,599;;;1,869;;1,579;;1,459;;;;;;;;;;ESOIL;P;dm;L-D: 24H;L-D: 24H (A);
VALLADOLID;47009;AVENIDA BURGOS, 50;D;-4,729028;41,666167;14/11/2023 10:24;1,537;;;;;1,469;;;;;;;;;;;;ESPANOIL;P;dm;L-D: 24H;L-D: 24H (A);
VALLADOLID;47012;CALLE HIDROGENO, 83;D;-4,6975;41,60175;13/11/2023 15:41;1,538;;;;;1,488;;;;;;;;;;;;ESPECIAL OIL;P;dm;L-D: 24H;L-D: 00:00-07:30 (D), 07:30-21:30 (A), 21:30-23:59 (D);
ESPINARDO;30100;POLIGONO EL TIRO, 72;D;-1,163444;38,020333;14/11/2023 0:00;1,499;;;;;1,439;1,459;;;;;;;;;;;ESPINARDO;P;OM;L-D: 24H;L-D: 24H (A);
PINEDA DE MAR;8397;CALLE LLEBEIG, 1;N;2,674556;41,624556;13/11/2023 12:51;1,529;;;1,699;;1,499;1,529;;;;;;;;;;;ESSER;P;dm;L-D: 08:00-20:00;L-D: 08:00-20:00 (A);
LLORET DE MAR;17310;AVINGUDA DE LES ALEGRIES, 89/91;N;2,830861;41,713556;14/11/2023 11:26;1,559;;;1,769;;1,549;1,599;;;;;;;;;;;ESSER;P;dm;L-D: 24H;L-D: 24H (A);
PARDELLAS;36311;ESTRADA PORRINO-GOMDOMAR,200, ;D;-8,665083;42,156917;14/11/2023 23:45;1,595;;;1,795;;1,575;;;;;;;;;;;;EST.SERVICIO  SAN COSME    CELA-MOS;P;dm;"L-V: 07:00-22:30; S-D: 07:30-22:30";"L-V: 07:00-22:30 (P); S-D: 07:30-22:30 (P)";
CATADAU;46196;CARRETERA CV-5202 KM. 1;I;-0,567194;39,279111;14/11/2023 8:33;1,509;;;;;1,486;1,76;1,085;;;;;;;;;;ESTACIO DE SERVICI EL REGAIXO;P;dm;L-D: 24H;L-D: 24H (A);
GUARDIOLA DE BERGUEDA;8694;CARRETERA C-16 KM. 113,5;I;1,872722;42,223528;13/11/2023 7:00;1,741;;1,798;;;1,689;1,755;;;;;;;;;;;ESTACIO SERRA CADI, S.L.;P;dm;L-D: 06:00-22:00;L-D: 06:00-22:00 (A);
RIERAL DE BIGUES;8415;CARRETERA SANT LLORENC A LLINARS KM. 25;D;2,217222;41,67125;13/11/2023 15:33;1,629;;;1,799;;1,599;1,739;;;;;;;;;;;ESTACIO SERVEI BIGUES I RIELLS;P;dm;L-D: 05:30-23:30;L-D: 05:30-23:30 (A);
HOSPITALET DE LLOBREGAT (L');8906;CALLE MIQUEL PEIRO VICTORI, CANTONADA AMETLLERS, S/N;D;2,093639;41,364278;13/11/2023 19:17;1,448;;;;;1,486;;;;;;;;;;;;ESTACIO SERVEI CAN BUXERES;P;dm;L-D: 24H;L-D: 24H (A);
LLINARS DEL VALLES;8450;AVINGUDA MAS BAGA, 1;N;2,404694;41,640194;14/11/2023 9:26;1,669;;;1,819;;1,629;1,699;;;;;;;;;;;ESTACIO SERVEI LLINARS;P;dm;L-D: 24H;L-D: 24H (A);
PRATS DE LLUCANES;8513;AVINGUDA POMPEU FABRA, 3;D;2,031889;42,009278;11/11/2023 14:02;1,599;;;1,759;;1,579;;1,259;;;;;;;;;;ESTACIO SERVEI LLUCANES;P;dm;L-D: 24H;L-D: 24H (A);
OLIANA;25790;CARRETERA C-14 KM. 141,000;N;1,312917;42,064333;13/11/2023 19:31;1,498;;;1,715;;1,53;;1,26;;;;;;;;;;ESTACIO SERVEI OLIANA;P;dm;"L-S: 06:30-22:00; D: 07:30-22:00";"L-S: 06:30-22:00 (A); D: 07:30-22:00 (A)";
CHIPUDE;38869;CARRETERA LOS APARTADEROS KM. 1;I;-17,277722;28,106778;10/11/2023 16:32;1,53;;;1,645;;1,525;;;;;;;;;;;;ESTACION  SERVICIO CHIPUDE;P;dm;L-D: 08:00-19:00;L-D: 08:00-19:00 (A);
MIAJADAS;10100;CALLE DE LAS ARTES Y OFICIOS, S/N;D;-5,933806;39,136472;10/11/2023 13:07;;;;;;1,516;;;;;;;;;;;;ESTACION 24H. MIAJADAS LOGISTICA Y TRANSPORTES SL;P;dm;L-D: 24H;L-D: 24H (D);
MANISES;46940;CALLE REQUENA, 20;N;-0,463444;39,48525;13/11/2023 11:50;1,639;;;1,769;;1,579;1,699;;;;;;;;;;;ESTACION AEROPUERTO;P;dm;"L-S: 07:00-22:00; D: 08:00-20:00";"L-S: 07:00-22:00 (A); D: 08:00-20:00 (A)";
MALAGA;29006;PASEO LOS TILOS, 21;N;-4,434028;36,712889;09/11/2023 15:33;;;;;;1,608;;;;;;;;;;;;ESTACION AUTOBUSES;R;dm;L-D: 24H;L-D: 24H (A);
VALLADOLID;47007;CALLE PUENTE COLGANTE, 2;D;-4,733361;41,641639;13/11/2023 10:28;;;;;;1,416;;;;;;;;;;;;ESTACION AUTOBUSES VALLADOLID;R;dm;"L-V: 05:30-23:30; S-D: 06:30-00:00";"L-V: 05:30-23:30 (A); S-D: 06:30-23:59 (A)";
LES;25540;CR N-230, 183,3;D;0,714372;42,820447;10/11/2023 18:27;1,615;;;1,749;;1,629;;;;;;;;;;;;ESTACION BOYA;P;dm;L-D: 24H;L-D: 24H (A);
SALAMANCA;37007;AVENIDA DE FILIBERTO VILLALOBOS, 71;N;-5,675944;40,969917;13/11/2023 23:55;;;;;;1,407;;;;;;;;;;;;ESTACION DE AUTOBUSES;R;dm;L-D: 24H;L-D: 24H (A);
CARTAGENA;30202;AVENIDA TROVERO MARIN, 3;N;-0,977083;37,603194;13/11/2023 11:01;;;;;;1,276;;;;;;;;;;;;ESTACION DE AUTOBUSES DE CARTAGENA;R;dm;L-D: 24H;L-D: 24H (P);
SANTA CRUZ DE LOS CANAMOS;13327;CALLE CALVARIO, 6;D;-2,864389;38,63525;13/11/2023 10:04;1,466;;;;;1,453;;1,125;;;;;;;;;;ESTACION DE CARBURANTES SAN BARTOLOME APOSTOL;R;dm;L-D: 24H;L-D: 24H (D);
VILLAR DEL REY;6192;RONDA CIRCUNVALACION, S/N;D;-6,853222;39,128778;13/11/2023 8:52;1,699;;;;;1,697;;;;;;;;;;;;ESTACION DE SERVICIO;P;dm;L-D: 09:30-14:00 y 17:30-23:00;L-D: 09:30-14:00 (P), 17:30-23:00 (P);
ANDORRA;44500;POLIGONO LA UMBRIA, PARCELAS 27,28,29, 27,28,29;D;-0,438806;40,973306;13/11/2023 19:45;1,51;;;;;1,55;;1,15;;;;;;;;;;ESTACION DE SERVICIO;R;dm;L-D: 24H;L-D: 24H (A);
ALQUEZAR;22145;ACCESO BARBASTRO-ALQUEZAR, 0;I;0,015167;42,165056;13/11/2023 13:21;1,68;;;;;1,7;;;;;;;;;;;;ESTACION DE SERVICIO ;P;dm;L-D: 09:00-14:00 y 16:00-19:00;L-D: 09:00-14:00 (P), 16:00-19:00 (P);
TRABE;15359;POLIGONO INDUSTRIAL A TRABE PARCELA.7, ES-G-769;D;-8,019611;43,652278;14/11/2023 0:05;1,619;;;1,719;;1,595;1,665;1,27;;;;;;;;;;ESTACION DE SERVICIO A TRABE;P;dm;L-D: 24H;L-D: 24H (D);
ALDEAHERMOSA;23267;CARRETERA CASTELLAR-ALDEAHERMOSA KM. 0,5;D;-3,123722;38,324583;13/11/2023 12:57;1,599;;;;;1,599;;1,219;;;;;;;;;;ESTACION DE SERVICIO ACEITES ALDEAHERMOSA;P;dm;L-D: 24H;L-D: 24H (A);
AOIZ/AGOITZ;31430;CALLE DOMINGO ELIZONDO, 12;I;-1,372472;42,784389;13/11/2023 10:59;1,679;;;;;1,689;;1,419;;;;;;;;;;ESTACION DE SERVICIO AOIZ, S.L.;P;dm;"L-S: 07:00-22:00; D: 08:00-21:00";"L-S: 07:00-22:00 (A); D: 08:00-21:00 (A)";
AIZOAIN;31195;CTRA.GUIPUZCOA-N-240 km 5,5;I;-1,681528;42,84325;14/11/2023 11:27;1,529;;;;;1,439;1,499;1,259;;;;1,099;;;;;;ESTACION DE SERVICIO ARALAR;P;dm;"L-S: 05:30-22:30; D: 06:00-22:30";"L-S: 05:30-22:30 (A); D: 06:00-22:30 (A)";
CABEZA DEL BUEY;6600;PUEBLA DE ALCOCER km 0.150;D;-5,223028;38,729806;13/11/2023 14:24;1,574;;;;;1,612;;1,275;;;;;;;;;;ESTACION DE SERVICIO ARMENTERA S.L;P;dm;L: 07:00-22:00;L: 07:00-22:00 (A);
BANDEIRA;36570;ESTRADA XERAL, 3;D;-8,301694;42,728194;14/11/2023 11:03;1,609;;;1,729;;1,629;1,689;;;;;;;;;;;ESTACION DE SERVICIO BANDEIRA;P;dm;L-D: 07:00-23:00;L-D: 24H (P);
CARDENETE;16373;CARRETERA CAMPORROBLES KM. 0;D;-1,694306;39,767806;03/11/2023 21:57;1,66;;;;;1,67;;;;;;;;;;;;ESTACION DE SERVICIO CARDENETE;P;dm;D: 24H;D: 24H (D);
CASTANAR DE IBOR;10340;CARRETERA km 28;D;-5,418583;39,625083;31/10/2023 17:48;1,679;;;;;1,689;;1,459;;;;;;;;;;ESTACION DE SERVICIO CASTANAR;P;dm;L: 07:00-22:00;L: 07:00-22:00 (A);
MARBELLA;29600;CALLE MADERA-PG LA ERMITA, 1;D;-4,867722;36,509556;13/11/2023 11:59;1,559;;;;1,639;1,559;1,579;;;;;;;;;;;ESTACION DE SERVICIO COLOSO MARBELLA;P;dm;L-D: 24H;L-D: 24H (A);
LOPERA;23780;CTRA. VILLA DEL RIO-PORCUNA km 29,10;I;-4,217194;37,948694;10/11/2023 6:00;1,619;;;;;1,599;1,679;1,269;;;;;;;;;;ESTACION DE SERVICIO DIEGO PILETA  Y AUTOLAVADO AGUA OSMOTIZADA: HIJOS DE DIEGO PILETA;P;dm;L-D: 05:00-23:00;L-D: 05:00-23:00 (P);
CORDOBA;14011;CARRETERA DE TRASSIERRA KM. 8;I;-4,872167;37,902694;13/11/2023 23:05;1,567;;;1,767;;1,568;1,709;;;;;;;;;;;ESTACION DE SERVICIO EL CRUCE DE SANTA MARIA DE TRASSIERRA;P;dm;L-D: 07:00-22:00;L-D: 07:00-22:00 (A);
CHAFIRAS (LAS);38639;AVENIDA EUGENIO DOMINGUEZ SIERRA, 48;D;-16,628556;28,046639;13/11/2023 10:32;1,229;;;1,329;;1,239;1,349;;;;;0,784;;;;;;ESTACION DE SERVICIO EL GOMERO;P;dm;L-D: 24H;L-D: 24H (P);
BARCELONA;8042;VIA JULIA, 207;D;2,179111;41,445472;13/11/2023 18:29;1,689;;;1,799;;1,599;;;;;;;;;;;;ESTACION DE SERVICIO FAVENCIA JULIA;P;dm;L-D: 06:00-22:30;L-D: 06:00-22:30 (A);
COVALEDA;42157;CARRETERA SO-850, P.KM. 24 KM. 24;D;-2,875556;41,928917;14/11/2023 11:30;1,509;;;;1,669;1,479;;;;;;;;;;;;ESTACION DE SERVICIO HERMANOS OLALLA ;P;dm;L-D: 24H;L-D: 24H (A);
